PRODUTO;PRINCÍPIO ATIVO;LABORATÓRIO;TIPO DE PRODUTO (STATUS DO PRODUTO);TARJA
LEVOFLOXACINO HEMIIDRATADO;LEVOFLOXACINO HEMI-HIDRATADO;SANOFI MEDLEY FARMACÊUTICA LTDA.;Genérico;Tarja Preta
LEVOFLOXACINO HEMIIDRATADO;LEVOFLOXACINO HEMIIDRATADO;SANOFI MEDLEY FARMACÊUTICA LTDA.;Genérico;Tarja Preta
LEVOID;LEVOTIROXINA SÓDICA;ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A;Novo;Tarja Vermelha
LEVOID;LEVOTIROXINA SÓDICA;ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A;Novo (Referência);Tarja Vermelha
LEVOLUKAST;"MONTELUCASTE DE SÓDIO;DICLORIDRATO DE LEVOCETIRIZINA";GLENMARK FARMACÊUTICA LTDA;Novo (Referência);Venda Livre
LEVONORGESTREL;LEVONORGESTREL;BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A;Genérico;Tarja Vermelha
LEVONORGESTREL;LEVONORGESTREL;INDÚSTRIA FARMACÊUTICA MELCON DO BRASIL S.A.;Genérico;Tarja Vermelha
LEVONORGESTREL+ETINILESTRADIOL;"LEVONORGESTREL;ETINILESTRADIOL";MABRA FARMACÊUTICA LTDA.;Genérico;Tarja Vermelha
LEVORDIOL;"LEVONORGESTREL;ETINILESTRADIOL;CLORIDRATO DE PIRIDOXINA";EMS SIGMA PHARMA LTDA;Similar;Tarja Vermelha
LEVORE;"LEVOFLOXACINO HEMI-HIDRATADO;LEVOFLOXACINO HEMIIDRATADO";CELLERA FARMACÊUTICA S.A.;Similar;Tarja Preta
LEVOTAC;LEVOFLOXACINO;CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.;Similar (Referência);Tarja Vermelha
LEVOTIROXINA SÓDICA;LEVOTIROXINA SÓDICA;MERCK S/A;Genérico;Tarja Vermelha
LEVOXIN;LEVOFLOXACINO HEMI-HIDRATADO;APSEN FARMACEUTICA S/A;Similar;Tarja Preta
LEVOXIN;LEVOFLOXACINO HEMI-HIDRATADO;APSEN FARMACEUTICA S/A;Novo;Tarja Preta
LEVOZINE;MALEATO DE LEVOMEPROMAZINA;CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.;Similar;Tarja Vermelha
LEXAPRASS;OXALATO DE ESCITALOPRAM;LABORATÓRIO TEUTO BRASILEIRO S/A;Similar;Tarja Vermelha
LEXAPRO;OXALATO DE ESCITALOPRAM;LUNDBECK BRASIL LTDA;Novo (Referência);Tarja Vermelha
LEXIN;CEFALEXINA MONOIDRATADA;LABORATÓRIO TEUTO BRASILEIRO S/A;Similar;Tarja Vermelha
LEXIN;"CEFALEXINA MONOIDRATADA;CEFALEXINA";LABORATÓRIO TEUTO BRASILEIRO S/A;Similar;Tarja Vermelha
LEXONEO;OXALATO DE ESCITALOPRAM;BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A;Similar;Tarja Vermelha
LEXOTAN;BROMAZEPAM;PRODUTOS ROCHE QUÍMICOS E FARMACÊUTICOS S.A.;Novo (Referência);Venda Livre
LEZEPAN;BROMAZEPAM;BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A;Similar;Venda Livre
LFM - ANLODIPINO;BESILATO DE ANLODIPINO;LABORATÓRIO FARMACÊUTICO DA MARINHA;Similar;Tarja Vermelha
LFM - MONONITRATO DE ISOSSORBIDA;MONONITRATO DE ISOSSORBIDA;LABORATÓRIO FARMACÊUTICO DA MARINHA;Similar;Tarja Vermelha
LFM - OFLOXACINO;OFLOXACINO;LABORATÓRIO FARMACÊUTICO DA MARINHA;Similar;Tarja Preta
LFM - PIRAZINAMIDA;PIRAZINAMIDA;LABORATÓRIO FARMACÊUTICO DA MARINHA;Similar;Tarja Vermelha
LFM- DICLOFENACO POTASSICO;DICLOFENACO POTÁSSICO;LABORATÓRIO FARMACÊUTICO DA MARINHA;Similar;Venda Livre
LFM -FUROSEMIDA;FUROSEMIDA;LABORATÓRIO FARMACÊUTICO DA MARINHA;Similar;Tarja Vermelha
LFM METILDOPA;METILDOPA;LABORATÓRIO FARMACÊUTICO DA MARINHA;Similar;Tarja Preta
LFM- RANITIDINA;CLORIDRATO DE RANITIDINA;LABORATÓRIO FARMACÊUTICO DA MARINHA;Similar;Venda Livre
LFM ZIPRASIDONA;CLORIDRATO DE ZIPRASIDONA MONOIDRATADO;LABORATÓRIO FARMACÊUTICO DA MARINHA;Similar;Venda Livre
LFM-ACICLOVIR;ACICLOVIR;LABORATÓRIO FARMACÊUTICO DA MARINHA;Similar;Tarja Vermelha
LFM-ALBENDAZOL;ALBENDAZOL;LABORATÓRIO FARMACÊUTICO DA MARINHA;Similar;Venda Livre
LFM-BROMEXINA 0,08%;CLORIDRATO DE BROMEXINA;LABORATÓRIO FARMACÊUTICO DA MARINHA;Similar;Venda Livre
LFM-CAPTOPRIL;CAPTOPRIL;LABORATÓRIO FARMACÊUTICO DA MARINHA;Similar;Tarja Vermelha
LFM-CLOTRIMAZOL;CLOTRIMAZOL;LABORATÓRIO FARMACÊUTICO DA MARINHA;Similar (Referência);Venda Livre
LFM-DIAZEPAM;DIAZEPAM;LABORATÓRIO FARMACÊUTICO DA MARINHA;Similar;Venda Livre
LFM-HIDROCLOROTIAZIDA;HIDROCLOROTIAZIDA;LABORATÓRIO FARMACÊUTICO DA MARINHA;Similar;Venda Livre
LFM-LEFLUNOMIDA;LEFLUNOMIDA;LABORATÓRIO FARMACÊUTICO DA MARINHA;Similar;Venda Livre
LFM-MEFLOQUINA;CLORIDRATO DE MEFLOQUINA;LABORATÓRIO FARMACÊUTICO DA MARINHA;Similar;Venda Livre
LFM-PARACETAMOL;PARACETAMOL;LABORATÓRIO FARMACÊUTICO DA MARINHA;Similar;Venda Livre
LFM-PREDNISONA;PREDNISONA;LABORATÓRIO FARMACÊUTICO DA MARINHA;Similar;Tarja Vermelha
LFM-PROPANOLOL;CLORIDRATO DE PROPRANOLOL;LABORATÓRIO FARMACÊUTICO DA MARINHA;Similar;Tarja Preta
LFM-RILUZOL;RILUZOL;LABORATÓRIO FARMACÊUTICO DA MARINHA;Similar;Tarja Vermelha
LIARA;ETINILESTRADIOL;GERMED FARMACEUTICA LTDA;Similar;Tarja Vermelha
LIBERAFLUX;HEDERA HELIX (HERA);Aché Laboratórios Farmacêuticos S.A;Fitoterápico;Venda Livre
LIBERFEM;"ETINILESTRADIOL;ACETATO DE CLORMADINONA";ZODIAC PRODUTOS FARMACÊUTICOS S/A;Similar;Tarja Vermelha
LIBIAM;TIBOLONA;LIBBS FARMACÊUTICA LTDA;Novo (Referência);Tarja Vermelha sob restrição
LIBIAM;TIBOLONA;LIBBS FARMACÊUTICA LTDA;Similar (Referência);Tarja Vermelha sob restrição
LIBOXAL;OXALIPLATINA;LABORATÓRIOS LIBRA DO BRASIL LTDA;Similar;Tarja Vermelha
LIBRACTAM;"SULBACTAM SÓDICA;AMPICILINA SÓDICA";LABORATÓRIOS LIBRA DO BRASIL LTDA;Similar;Tarja Vermelha
LIBRACTAN;"SULBACTAM SÓDICA;AMPICILINA SÓDICA";LABORATÓRIOS LIBRA DO BRASIL LTDA;Similar;Tarja Vermelha
LIBRATECAM;CLORIDRATO DE IRINOTECANO;LABORATÓRIOS LIBRA DO BRASIL LTDA;Similar;Tarja Vermelha
LIBTAYO;CEMIPLIMABE;SANOFI MEDLEY FARMACÊUTICA LTDA.;Biológico Novo;Venda Livre
LICITRO;CITRATO DE POTÁSSIO MONOIDRATADO;NOVA QUIMICA FARMACÊUTICA S/A;Específico;Tarja Vermelha
LICOR DE CACAU XAVIER;MEBENDAZOL;COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.;Similar;Venda Livre
LIDIAL;CLORIDRATO DE LIDOCAÍNA;LABORATIL FARMACEUTICA LTDA;Similar;Tarja Vermelha
LIDIAL;CLORIDRATO DE LIDOCAÍNA;VALEANT FARMACÊUTICA DO BRASIL LTDA;Similar;Tarja Vermelha
LIDIAL;CLORIDRATO DE LIDOCAÍNA;CELLERA FARMACÊUTICA S.A.;Similar;Tarja Vermelha
LIDOCAINA;LIDOCAÍNA;HIPOLABOR FARMACEUTICA LTDA;Genérico;Tarja Vermelha
LIDOCAINA;CLORIDRATO DE LIDOCAÍNA;HYPOFARMA - INSTITUTO DE HYPODERMIA E FARMÁCIA LTDA;Genérico;Tarja Vermelha
LIDOCAÍNA;LIDOCAÍNA;EMS S/A;Genérico;Tarja Vermelha
LIDOCAÍNA;LIDOCAÍNA;GERMED FARMACEUTICA LTDA;Genérico;Tarja Vermelha
LIDOGEL;CLORIDRATO DE LIDOCAÍNA;BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A;Similar;Tarja Vermelha
LIDOJET;CLORIDRATO DE LIDOCAÍNA;UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A;Similar;Tarja Vermelha
LIDOPASS;LIDOCAÍNA;1FARMA INDUSTRIA FARMACEUTICA LTDA;Similar;Tarja Vermelha
LIDOSPORIN;"SULFATO DE POLIMIXINA B;LIDOCAÍNA";FARMOQUÍMICA S/A;Similar (Referência);Tarja Vermelha
LIDY;ETINILESTRADIOL;GERMED FARMACEUTICA LTDA;Genérico;Tarja Vermelha
LIDY;ETINILESTRADIOL;GERMED FARMACEUTICA LTDA;Similar;Tarja Vermelha
LIFOS;IFOSFAMIDA;LABORATÓRIOS LIBRA DO BRASIL LTDA;Similar;Tarja Vermelha
LIMBITROL;"CLORIDRATO DE AMITRIPTILINA;CLORDIAZEPÓXIDO";VALEANT FARMACÊUTICA DO BRASIL LTDA;Similar;Tarja Vermelha
LINATRON;CLORIDRATO DE LINCOMICINA;BLAU FARMACÊUTICA S.A.;Similar;Venda Livre
LINCOFLAN;CLORIDRATO DE LINCOMICINA;VALEANT FARMACÊUTICA DO BRASIL LTDA;Similar;Venda Livre
LINEZOLIDA;LINEZOLIDA;ANTIBIÓTICOS DO BRASIL LTDA;Genérico;Tarja Vermelha
LINEZOLIDA;LINEZOLIDA;BEKER PRODUTOS FÁRMACO HOSPITALARES LTDA;Genérico;Tarja Vermelha
LINEZOLIDA;LINEZOLIDA;EUROFARMA LABORATÓRIOS S.A.;Genérico;Tarja Vermelha
LINEZOLIDA;LINEZOLIDA;GLENMARK FARMACÊUTICA LTDA;Genérico;Tarja Vermelha
LINEZOLIDA;LINEZOLIDA;WYETH INDÚSTRIA FARMACÊUTICA LTDA;Genérico;Tarja Vermelha
LINEZOLIDA;LINEZOLIDA;SUN FARMACÊUTICA DO BRASIL LTDA;Genérico;Tarja Vermelha
LIORAM;HEMITARTARATO DE ZOLPIDEM;COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.;Similar;Tarja Preta
LIORESAL;BACLOFENO;NOVARTIS BIOCIENCIAS S.A;Novo (Referência);Tarja Preta
LIPANON;FENOFIBRATO;COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.;Novo (Referência);Tarja Preta
LIPANON;NI;COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.;Novo (Referência);Tarja Preta
LIPANON;FENOFIBRATOS MICROGRÂNULOS A 75%;COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.;Novo (Referência);Tarja Preta
LIPIBLOCK;ORLISTATE;GERMED FARMACEUTICA LTDA;Similar;Tarja Vermelha
LIPIDEM;ÓLEO DE SOJA;LABORATÓRIOS B. BRAUN S/A;Específico;Tarja Vermelha
LIPIDIL;FENOFIBRATO;ABBOTT LABORATÓRIOS DO BRASIL LTDA;Novo (Referência);Tarja Preta
LIPIGRAND;ATORVASTATINA CÁLCICA;LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA;Similar;Venda Livre
LIPIODOL UF;ÉSTERES ETÍLICOS DOS ÁCIDOS GRAXOS DO ÓLEO DE PAPOULA IODADOS;GUERBET PRODUTOS RADIOLÓGICOS LTDA;Similar;Tarja Vermelha
LIPISTAT;ATORVASTATINA CÁLCICA;EMS SIGMA PHARMA LTDA;Similar;Venda Livre
LIPISTATINA;SINVASTATINA;NOVA QUIMICA FARMACÊUTICA S/A;Genérico;Venda Livre
LIPISTATINA;SINVASTATINA;GERMED FARMACEUTICA LTDA;Similar;Venda Livre
LIPITOR;ATORVASTATINA CÁLCICA;LABORATÓRIOS PFIZER LTDA;Similar;Venda Livre
LIPITOR;ATORVASTATINA CÁLCICA;WYETH INDÚSTRIA FARMACÊUTICA LTDA;Similar;Venda Livre
LIPLESS;CIPROFIBRATO;BIOLAB SANUS FARMACÊUTICA LTDA;Similar;Tarja Preta
LIPNEO;CIPROFIBRATO;BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A;Similar;Tarja Preta
LIPOBRATO;FENOFIBRATO;EMS SIGMA PHARMA LTDA;Similar;Tarja Preta
LIPOCLIN;ORLISTATE;COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.;Similar;Tarja Vermelha
LIPOFUNDIN;ÓLEO DE SOJA;LABORATÓRIOS B. BRAUN S/A;Específico;Tarja Vermelha
LIPOSIC;"SORBITOL;CARBÔMER";BL INDÚSTRIA OTICA LTDA;Novo;Venda Livre
LIPOVENOS;"ÓLEO DE SOJA;LECITINA DE OVO;GLICEROL";FRESENIUS KABI BRASIL LTDA;Específico;Tarja Vermelha
LIPOVENOS MCT;ÓLEO DE SOJA;FRESENIUS KABI BRASIL LTDA;Específico;Tarja Vermelha
LIPOXEN;ORLISTATE;BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A;Similar (Referência);Tarja Vermelha
LIPTHAL;ATORVASTATINA CÁLCICA;LABORATÓRIO TEUTO BRASILEIRO S/A;Similar;Venda Livre
LIPURO;PROPOFOL;LABORATÓRIOS B. BRAUN S/A;Específico;Tarja Vermelha
LISADOR;"CLORIDRATO DE PROMETAZINA;CLORIDRATO DE ADIFENINA;DIPIRONA";COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.;Similar;Venda Livre
LISADOR;CLORIDRATO DE PROMETAZINA;COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.;Similar;Venda Livre
LISADOR DIP;DIPIRONA MONOIDRATADA;COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.;Similar;Venda Livre
LISINOPRIL;LISINOPRIL;AUROBINDO PHARMA INDÚSTRIA FARMACÊUTICA LIMITADA;Genérico;Tarja Vermelha
LISINOPRIL;LISINOPRIL;CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.;Genérico;Tarja Vermelha
LISINOPRIL;LISINOPRIL;EMS S/A;Genérico;Tarja Vermelha
LISINOPRIL;LISINOPRIL;SANDOZ DO BRASIL INDÚSTRIA FARMACÊUTICA LTDA;Genérico;Tarja Vermelha
LISINOPRIL;LISINOPRIL;LABORATÓRIO TEUTO BRASILEIRO S/A;Genérico;Tarja Vermelha
LISINOPRIL;LISINOPRIL;SANOFI MEDLEY FARMACÊUTICA LTDA.;Genérico;Tarja Vermelha
LISINOPRIL;LISINOPRIL;GERMED FARMACEUTICA LTDA;Genérico;Tarja Vermelha
LISINOPRIL;LISINOPRIL;RANBAXY FARMACÊUTICA LTDA;Genérico;Tarja Vermelha
LISINOPRIL;LISINOPRIL;EMS SIGMA PHARMA LTDA;Genérico;Tarja Vermelha
LISINOVIL;LISINOPRIL;SANDOZ DO BRASIL INDÚSTRIA FARMACÊUTICA LTDA;Similar;Tarja Vermelha
LISODERME;ACETATO DE DEXAMETASONA;BELFAR LTDA;Similar;Venda Livre
LISODREN;MITOTANO;BRISTOL-MYERS SQUIBB FARMACÊUTICA LTDA;Novo (Referência);Tarja Vermelha
LISOMUC;ACEBROFILINA;LABORATÓRIO FARMACÊUTICO ELOFAR LTDA;Similar;Venda Livre
LISPELIN;LANSOPRAZOL;PRATI DONADUZZI & CIA LTDA;Similar;Tarja Vermelha
LISTO;CLORIDRATO DE ONDANSETRONA;BIOLAB SANUS FARMACÊUTICA LTDA;Similar;Tarja Vermelha
LISTO;CLORIDRATO DE ONDANSETRONA;AVERT LABORATÓRIOS LTDA;Similar;Tarja Vermelha
LITOCIT;CITRATO DE POTÁSSIO;APSEN FARMACEUTICA S/A;Novo;Tarja Vermelha
LITREXATE;METOTREXATO;LABORATÓRIOS LIBRA DO BRASIL LTDA;Similar;Tarja Vermelha
LIVALO;PITAVASTATINA CÁLCICA;ELI LILLY DO BRASIL LTDA;Novo (Referência);Venda Livre
LIVEPAX;LEVOFLOXACINO;ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A;Similar;Tarja Preta
LIVGAS;SIMETICONA;MEDQUIMICA INDUSTRIA FARMACEUTICA LTDA.;Similar;Tarja Vermelha
LIVIAL;TIBOLONA;SCHERING-PLOUGH INDÚSTRIA FARMACÊUTICA LTDA;Novo (Referência);Tarja Vermelha sob restrição
LIVIPARK;DICLORIDRATO DE PRAMIPEXOL;SANDOZ DO BRASIL INDÚSTRIA FARMACÊUTICA LTDA;Similar;Tarja Vermelha
LIVOLON;TIBOLONA;BIOLAB SANUS FARMACÊUTICA LTDA;Similar;Tarja Vermelha sob restrição
LIXIANA®;EDOXABANA;DAIICHI SANKYO BRASIL FARMACÊUTICA LTDA;Novo;Tarja Vermelha
LIZZY;"GESTODENO;ETINILESTRADIOL";SANDOZ DO BRASIL INDÚSTRIA FARMACÊUTICA LTDA;Similar;Tarja Vermelha
LOBEAT;CLORIDRATO DE NEBIVOLOL;ABBOTT LABORATÓRIOS DO BRASIL LTDA;Similar;Tarja Preta
LOCABIOTAL;FUSAFUNGINA;LABORATÓRIOS SERVIER DO BRASIL LTDA;Novo;Tarja Vermelha
LOCERYL;AMOROLFINA;GALDERMA BRASIL LTDA;Novo (Referência);Venda Livre
LOCERYL;"CLORIDRATO DE AMOROLFINA;AMOROLFINA";GALDERMA BRASIL LTDA;Novo (Referência);Venda Livre
LODINA;OLOPATADINA;COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.;Similar;Tarja Vermelha
LOMDOR;DIPIRONA;LABORATÓRIOS OSÓRIO DE MORAES LTDA;Similar;Venda Livre
LOMECAN;CLOTRIMAZOL;GLENMARK FARMACÊUTICA LTDA;Similar;Venda Livre
LOMFER;SULFATO FERROSO;LABORATÓRIOS OSÓRIO DE MORAES LTDA;Específico;Tarja Vermelha
LOMICINA;SULFATO DE NEOMICINA;LABORATÓRIOS OSÓRIO DE MORAES LTDA;Similar;Venda Livre
LOMYTRAT;CLORIDRATO DE AMOROLFINA;LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA;Similar;Venda Livre
LONCORD;NIFEDIPINO;DIFFUCAP - CHEMOBRÁS QUÍMICA E FARMACÊUTICA LTDA;Similar;Tarja Vermelha
LONGACTIL;CLORIDRATO DE CLORPROMAZINA;CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.;Similar;Tarja Vermelha
LONITEN;MINOXIDIL;LABORATÓRIOS PFIZER LTDA;Novo (Referência);Tarja Vermelha
LONITEN;MINOXIDIL;WYETH INDÚSTRIA FARMACÊUTICA LTDA;Novo (Referência);Tarja Vermelha
LONIUM;BROMETO DE OTILÔNIO;APSEN FARMACEUTICA S/A;Novo;Tarja Vermelha
LONQUEX;LIPEGFILGRASTIM;TEVA FARMACÊUTICA LTDA.;Biológicos;Venda Livre
LOPID;GENFIBROZILA;LABORATÓRIOS PFIZER LTDA;Similar (Referência);Tarja Preta
LOPID;GENFIBROZILA;WYETH INDÚSTRIA FARMACÊUTICA LTDA;Novo (Referência);Tarja Preta
LOPIGREL;BISSULFATO DE CLOPIDOGREL;SANOFI MEDLEY FARMACÊUTICA LTDA.;Similar;Tarja Vermelha
LOPINAVIR + RITONAVIR;"RITONAVIR;LOPINAVIR";CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.;Genérico;Tarja Vermelha
LOPRESSOR;TARTARATO DE METOPROLOL;NOVARTIS BIOCIENCIAS S.A;Novo (Referência);Tarja Preta
LOPROX;CICLOPIROX;SANOFI-AVENTIS FARMACÊUTICA LTDA;Novo (Referência);Venda Livre
LOPROX NL;CICLOPIROX;SANOFI-AVENTIS FARMACÊUTICA LTDA;Novo (Referência);Venda Livre
LOPURAX;ALOPURINOL;SANVAL COMÉRCIO E INDÚSTRIA LTDA;Similar;Venda Livre
LORADINE;LORATADINA;LABORATÓRIO TEUTO BRASILEIRO S/A;Similar;Tarja Vermelha
LORADINE D;"SULFATO DE PSEUDOEFEDRINA;LORATADINA";LABORATÓRIO TEUTO BRASILEIRO S/A;Similar;Venda Livre
LORALERG;LORATADINA;COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.;Similar;Tarja Vermelha
LORASLIV;LORATADINA;VITAMEDIC INDUSTRIA FARMACEUTICA LTDA;Similar;Tarja Vermelha
LORATADINA;LORATADINA;BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A;Genérico;Tarja Vermelha
LORATADINA;LORATADINA;CIMED INDÚSTRIA DE MEDICAMENTOS LTDA;Genérico;Tarja Vermelha
LORATADINA;LORATADINA;EMS S/A;Genérico;Tarja Vermelha
LORATADINA;LORATADINA;GEOLAB INDÚSTRIA FARMACÊUTICA S/A;Genérico;Tarja Vermelha
LORATADINA;LORATADINA;LABORATÓRIO GLOBO LTDA;Genérico;Tarja Vermelha
LORATADINA;LORATADINA;LABORATÓRIO TEUTO BRASILEIRO S/A;Genérico;Tarja Vermelha
LORATADINA;LORATADINA;BIOSINTÉTICA FARMACÊUTICA LTDA;Genérico;Tarja Vermelha
LORATADINA;LORATADINA;SANOFI MEDLEY FARMACÊUTICA LTDA.;Genérico;Tarja Vermelha
LORATADINA;LORATADINA;MEDQUIMICA INDUSTRIA FARMACEUTICA LTDA.;Genérico;Tarja Vermelha
LORATADINA;LORATADINA;NOVA QUIMICA FARMACÊUTICA S/A;Genérico;Tarja Vermelha
LORATADINA;LORATADINA;MERCK S/A;Genérico;Tarja Vermelha
LORATADINA;LORATADINA;MULTILAB INDÚSTRIA E COMÉRCIO DE PRODUTOS FARMACÊUTICOS LTDA;Genérico;Tarja Vermelha
LORATADINA;LORATADINA;GERMED FARMACEUTICA LTDA;Genérico;Tarja Vermelha
LORATADINA;LORATADINA;PRATI DONADUZZI & CIA LTDA;Genérico;Tarja Vermelha
LORATADINA;LORATADINA;RANBAXY FARMACÊUTICA LTDA;Genérico;Tarja Vermelha
LORATADINA;LORATADINA;UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A;Genérico;Tarja Vermelha
LORATADINA;LORATADINA;MARIOL INDUSTRIAL LTDA;Genérico;Tarja Vermelha
LORATADINA;LORATADINA;LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA;Genérico;Tarja Vermelha
LORATADINA;LORATADINA;Aché Laboratórios Farmacêuticos S.A;Genérico;Tarja Vermelha
LORATADINA + SULFATO DE PSEUDOEFEDRINA;LORATADINA;LABORATÓRIO TEUTO BRASILEIRO S/A;Genérico;Venda Livre
LORATADINA + SULFATO DE PSEUDOEFEDRINA;"SULFATO DE PSEUDOEFEDRINA;LORATADINA";LABORATÓRIO TEUTO BRASILEIRO S/A;Genérico;Venda Livre
LORATADINA + SULFATO DE PSEUDOEFEDRINA;"SULFATO DE PSEUDOEFEDRINA;LORATADINA";BIOSINTÉTICA FARMACÊUTICA LTDA;Genérico;Venda Livre
LORATADINA + SULFATO DE PSEUDOEFEDRINA;"SULFATO DE PSEUDOEFEDRINA;LORATADINA";GERMED FARMACEUTICA LTDA;Genérico;Venda Livre
LORATADINA + SULFATO DE PSEUDOEFEDRINA;"SULFATO DE PSEUDOEFEDRINA;LORATADINA";LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA;Genérico;Venda Livre
LORATADINA + SULFATO DE PSEUDOEFEDRINA (PORT 344/98 LISTA D1);"SULFATO DE PSEUDOEFEDRINA;LORATADINA";BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A;Genérico;Venda Livre
LORATADINA +SULFATO DE PSEUDOEFEDRINA;"SULFATO DE PSEUDOEFEDRINA;LORATADINA";SANOFI MEDLEY FARMACÊUTICA LTDA.;Genérico;Venda Livre
LORATADINA+SULFATO DE PSEUDOEFEDRINA;"SULFATO DE PSEUDOEFEDRINA;LORATADINA";CIMED INDÚSTRIA DE MEDICAMENTOS LTDA;Genérico;Venda Livre
LORATADINA+SULFATO DE PSEUDOEFEDRINA;"SULFATO DE PSEUDOEFEDRINA;LORATADINA";EMS S/A;Genérico;Venda Livre
LORATAMED;LORATADINA;CIMED INDÚSTRIA DE MEDICAMENTOS LTDA;Similar;Tarja Vermelha
LORAX;LORAZEPAM;WYETH INDÚSTRIA FARMACÊUTICA LTDA;Novo (Referência);Venda Livre
LORAZEPAM;LORAZEPAM;EMS S/A;Genérico;Venda Livre
LORAZEPAM;LORAZEPAM;LABORATÓRIO TEUTO BRASILEIRO S/A;Genérico;Venda Livre
LORAZEPAM;LORAZEPAM;SANOFI MEDLEY FARMACÊUTICA LTDA.;Genérico;Venda Livre
LORAZEPAM;LORAZEPAM;NOVA QUIMICA FARMACÊUTICA S/A;Genérico;Venda Livre
LORAZEPAM;LORAZEPAM;GERMED FARMACEUTICA LTDA;Genérico;Venda Livre
LORAZEPAM;LORAZEPAM;RANBAXY FARMACÊUTICA LTDA;Genérico;Venda Livre
LORAZEPAM;LORAZEPAM;LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA;Genérico;Venda Livre
LOREDON;CLORIDRATO DE TRAZODONA;TORRENT DO BRASIL LTDA;Similar;Tarja Preta
LORELIN DEPOT;ACETATO DE LEUPRORRELINA;LABORATÓRIO QUÍMICO FARMACÊUTICO BERGAMO LTDA;Similar;Tarja Vermelha
LOREMIX;LORATADINA;ATIVUS FARMACÊUTICA LTDA;Similar;Tarja Vermelha
LOREMIX D;"LORATADINA;CLORIDRATO DE PSEUDOEFEDRINA";ATIVUS FARMACÊUTICA LTDA;Similar;Venda Livre
LOREMIX D;"PSEUDOEFEDRINA;LORATADINA";ATIVUS FARMACÊUTICA LTDA;Similar;Venda Livre
LORENTIL;CLORIDRATO DE TERBINAFINA;BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A;Similar;Venda Livre
LORITIL;LORATADINA;GEOLAB INDÚSTRIA FARMACÊUTICA S/A;Similar;Tarja Vermelha
LORITIL D;"SULFATO DE PSEUDOEFEDRINA;LORATADINA";GEOLAB INDÚSTRIA FARMACÊUTICA S/A;Similar;Venda Livre
LORSACOR;LOSARTANA POTÁSSICA;SANDOZ DO BRASIL INDÚSTRIA FARMACÊUTICA LTDA;Similar;Tarja Vermelha
LORSAR-HCT;"LOSARTANA POTÁSSICA;HIDROCLOROTIAZIDA";SANDOZ DO BRASIL INDÚSTRIA FARMACÊUTICA LTDA;Similar;Venda Livre
LOSACORON;LOSARTANA POTÁSSICA;VITAMEDIC INDUSTRIA FARMACEUTICA LTDA;Similar;Tarja Vermelha
LOSARTAN POTÁSSICO;LOSARTANA POTÁSSICA;RANBAXY FARMACÊUTICA LTDA;Genérico;Tarja Vermelha
LOSARTANA POTASSICA;LOSARTANA POTÁSSICA;AUROBINDO PHARMA INDÚSTRIA FARMACÊUTICA LIMITADA;Genérico;Tarja Vermelha
LOSARTANA POTASSICA;LOSARTANA POTÁSSICA;BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A;Genérico;Tarja Vermelha
